benchmark,brand
"16,988",TITAN V CEO Edition
"16,795",GeForce RTX 2080 Ti
"16,529",TITAN RTX
"15,591",GeForce RTX 2080
"15,100",TITAN Xp COLLECTORS EDITION
"14,952",TITAN V
"14,916",Quadro RTX 6000
"14,571",GeForce RTX 2070 SUPER
"14,387",NVIDIA TITAN Xp
"14,261",GeForce GTX 1080 Ti
"14,215",Radeon VII
"14,178",GeForce RTX 2070
"14,034",GeForce RTX 2080 (Mobile)
"13,665",NVIDIA TITAN X
"13,556",Quadro P6000
"13,340",Quadro RTX 4000
"13,307",Radeon RX 5700 XT
"13,077",Quadro RTX 5000
"13,004",GeForce RTX 2080 with Max-Q Design
"12,932",GeForce RTX 2060
"12,817",Quadro GP100
"12,699",Quadro GV100
"12,554",GeForce RTX 2060 SUPER
"12,449",GeForce GTX 1080
"12,331",GeForce GTX 1070 Ti
"12,276",Quadro RTX 8000
"12,227",Radeon RX 5700
"12,001",Radeon RX 5700 XT 50th Anniversary
"11,950",Radeon Pro Vega 56
"11,932",Radeon RX Vega 64
"11,880",Radeon RX Vega 56
"11,468",GeForce GTX 1660 Ti
"11,456",Radeon Pro Vega 64
"11,435",GeForce RTX 2070 with Max-Q Design
"11,399",GeForce GTX 980 Ti
"11,353",GeForce GTX 1070
"11,110",Radeon Vega Frontier Edition
"11,076",Quadro P5200 with Max-Q Design
"10,926",Radeon PRO WX 8200
"10,864",GeForce RTX 2060 (Mobile)
"10,705",GeForce GTX 1660
"10,699",GeForce GTX TITAN X
"10,681",Radeon Pro WX 9100
"10,612",Quadro P4200 with Max-Q Design
"10,561",GeForce RTX 2070 (Mobile)
"10,535",Radeon Pro SSG
"10,469",Quadro P4000
"10,231",GeForce GTX 1080 with Max-Q Design
"10,166",Quadro P4200
"10,135",Quadro P5000
"10,063",GeForce GTX 1660 Ti (Mobile)
"10,034",Quadro M6000 24GB
"9,655",GeForce GTX 980
"9,508",GeForce GTX 1070 with Max-Q Design
"9,481",Quadro P5200
"9,438",GeForce GTX 1070 (Mobile)
"9,434",Radeon Pro Duo
"9,386",Quadro M6000
"9,351",Radeon RX 590
"9,154",Radeon R9 Fury
"9,096",GeForce GTX 1060
"9,083",Quadro P4000 with Max-Q Design
"8,982",GeForce GTX 1060 3GB
"8,883",GeForce GTX 780 Ti
"8,640",GeForce GTX TITAN Black
"8,634",GeForce GTX 970
"8,594",Quadro P3200 with Max-Q Design
"8,522",Quadro M5000
"8,512",Radeon R9 390X
"8,485",Radeon RX 580
"8,463",Radeon R9 Fury + Fury X
"8,426",GeForce GTX 1660 Ti with Max-Q Design
"8,414",Radeon RX 580 2048SP
"8,253",Quadro P3200
"8,134",Radeon RX 480
"8,094",Radeon R9 390
"7,966",Radeon Pro WX 7100
"7,961",GeForce GTX 780
"7,947",GeForce GTX Titan
"7,929",Quadro T2000
"7,915",Quadro M5500
"7,866",GeForce GTX 1060 (Mobile)
"7,856",GeForce GTX 1060 with Max-Q Design
"7,776",Radeon R9 295X2
"7,753",Radeon Pro 580
"7,702",Tesla M60
"7,694",GeForce GTX TITAN Z
"7,679",GeForce GTX 1650
"7,670",Radeon RX 470
"7,570",FirePro W8100 Graphic Adapter
"7,454",Quadro K6000
"7,442",Radeon R9 290X / 390X
"7,314",GeForce GTX 1650 (Mobile)
"7,270",Quadro P2000
"7,225",Tesla P100-PCIE-16GB
"7,189",FirePro W9100
"7,144",Radeon R9 290 / 390
"7,005",Radeon RX Vega M GH
"6,892",Radeon RX 570
"6,662",Quadro M4000
"6,377",Radeon Pro Vega 20
"6,337",Radeon Pro 570
"6,211",Radeon R9 380X
"6,156",GeForce GTX 1060 5GB
"6,146",Radeon R9 380
"6,094",Quadro K5200
"6,086",FirePro W8100
"6,067",GeForce GTX 770
"6,049",Radeon Pro WX Vega M GL
"6,028",GeForce GTX 1050 Ti
"5,948",GeForce GTX 980M
"5,925",GeForce GTX 1050 Ti (Mobile)
"5,904",GRID M60-2Q
"5,877",Quadro P3000
"5,844",Radeon R9 280X
"5,822",GeForce GTX 960
"5,782",Radeon R9 M395X
"5,782",GeForce GTX 1050 Ti with Max-Q Design
"5,756",Device
"5,694",Quadro M5000M
"5,669",GeForce GTX 680
"5,610",Radeon Pro WX 5100
"5,554",FirePro W7100 Adapter
"5,551",Radeon R9 285 / 380
"5,548",Radeon HD 7990
"5,397",FirePro W7100
"5,391",GeForce GTX 690
"5,380",Radeon R9 280
"5,364",GeForce GTX 670
"5,304",FirePro W9000
"5,276",Quadro P2000 with Max-Q Design
"5,248",Radeon HD 7970 / R9 280X
"5,236",GeForce GTX 950
"5,232",FirePro S10000
"5,217",Radeon RX Vega M GL
"5,150",Radeon R9 M295X
"5,119",GeForce GTX 760 Ti
"5,059",FirePro S9000
"5,022",Radeon R9 M395
"5,019",GeForce GTX 580
"5,018",GeForce GTX 1650 with Max-Q Design
"5,000",Radeon HD 8990
"4,939",GeForce GTX 760
"4,889",Radeon Sky 500
"4,767",Quadro M4000M
"4,764",Radeon HD 7950 / R9 280
"4,752",FirePro W8000 Adapter
"4,726",GeForce GTX 1050
"4,722",GeForce GTX 760 Ti OEM
"4,722",Radeon R9 370
"4,694",Radeon R9 270X
"4,680",GRID M60-1Q
"4,659",GeForce GTX 660 Ti
"4,639",Radeon R7 370
"4,628",FirePro W8000
"4,579",FirePro W7170M
"4,503",Quadro M3000M
"4,469",Radeon HD 7870 XT
"4,467",Quadro K4200
"4,453",GeForce GTX 1050 (Mobile)
"4,429",GRID P6-4Q
"4,416",GeForce GTX 570
"4,401",Quadro P1000
"4,384",GRID K520
"4,381",Radeon HD 7870
"4,360",GeForce GTX 480
"4,357",Radeon R9 M390X
"4,339",Radeon RX 560
"4,332",Radeon RX 460
"4,332",FirePro W7000
"4,319",Barco MXRT 7500
"4,277",Quadro M2000
"4,275",GeForce GTX 680MX
"4,261",Radeon R9 270 / R7 370
"4,218",GeForce GTX 590
"4,210",GeForce GTX 970M
"4,167",GeForce GTX 775M
"4,166",FirePro S7000
"4,130",GeForce GTX 660
"4,085",FirePro W7000 Adapter
"4,035",Radeon R9 M290X
"4,021",GeForce GTX 780M
"4,016",Quadro K5000
"4,000",Radeon Pro WX 4100
"3,953",Radeon Pro WX4100
"3,884",GRID M60-8Q
"3,876",Radeon HD 8970M
"3,846",Radeon HD 7850
"3,801",GeForce GTX 1050 with Max-Q Design
"3,799",Radeon HD 7970M
"3,773",GRID K2
"3,760",Quadro RTX 3000
"3,760",GeForce GTX 750 Ti
"3,718",GeForce GTX 880M
"3,706",Quadro P620
"3,613",Quadro M2200
"3,601",GeForce GTX 470
"3,591",Quadro K2200
"3,563",Radeon R9 M470X
"3,553",RX 560X
"3,537",GeForce GTX 650 Ti BOOST
"3,529",GeForce GTX 560 Ti
"3,529",Quadro 6000
"3,523",Radeon HD 6970
"3,515",Tesla C2050
"3,475",Radeon Pro 560
"3,453",Radeon Pro 460
"3,444",Radeon RX 550
"3,428",Tesla C2050 / C2070
"3,369",Radeon HD8970M
"3,367",FirePro M6100 FireGL V
"3,364",Tesla C2075
"3,348",GeForce GTX 680M
"3,330",Radeon Pro WX 3100
"3,320",GeForce GTX 750
"3,314",Radeon R7 360
"3,275",Tesla C2070
"3,242",GeForce GTX 965M
"3,217",Radeon HD 6950
"3,209",Radeon Pro WX 4150
"3,194",Quadro P600
"3,189",GRID M60-4Q
"3,174",Radeon R7 260X
"3,162",FirePro V7000 Adapter
"3,141",Radeon Pro 555
"3,118",GeForce GTX 560
"3,113",Radeon Pro 455
"3,105",Quadro K5100M
"3,101",Radeon R9 M380
"3,084",FirePro W5000
"3,082",Radeon HD 7790
"3,069",Radeon HD 8950
"3,053",Quadro M1200
"3,041",Quadro K1200
"3,032",Radeon R9 360
"3,018",Radeon R9 260
"3,012",FirePro W5100
"2,968",FirePro M6100
"2,947",GeForce GTX 465
"2,941",GRID K260Q
"2,909",FirePro W4300
"2,908",Quadro M2000M
"2,892",Radeon R7 260
"2,883",Quadro K4000
"2,866",Radeon Pro WX 4130
"2,859",Radeon HD 6990
"2,855",Quadro 5000
"2,812",FirePro 3D V9800
"2,800",Quadro M620
"2,762",FirePro V9800 Adapter
"2,756",Quadro K2200M
"2,739",FirePro V7900
"2,723",Radeon Pro 450
"2,660",GeForce GTX 650 Ti
"2,658",GeForce GTX 770M
"2,654",GeForce GTX 460
"2,640",GeForce MX250
"2,627",Quadro K5000M
"2,622",Radeon HD 5870
"2,615",Radeon HD 6870
"2,602",Radeon HD 5970
"2,600",Quadro K4100M
"2,488",GeForce GTX 460 v2
"2,456",GeForce GTX 675MX
"2,449",GeForce GTX 870M
"2,438",FirePro 3D V8800
"2,435",Radeon R9 M470
"2,401",GeForce GTX 485M
"2,385",Quadro M1000M
"2,359",GRID K280Q
"2,359",GeForce GTX 960A
"2,355",GeForce GTX 960M
"2,340",Radeon RX 540
"2,335",Quadro K620
"2,292",Radeon HD 6850
"2,282",Radeon HD 5850
"2,281",Radeon RX Vega 11
"2,279",GeForce GTX 580M
"2,270",Radeon HD 6970M
"2,269",Radeon R7 250X
"2,258",GeForce GTX 460 SE
"2,251",GeForce GT 645
"2,245",GeForce GT 1030
"2,238",Quadro K4000M
"2,236",Radeon R9 350
"2,228",Radeon Pro WX 2100
"2,222",Radeon HD 7770
"2,203",GeForce MX150
"2,196",Radeon R7 450
"2,192",GeForce GTX 745
"2,192",GeForce GTX 560 SE
"2,191",Firepro W5170M
"2,185",RadeonT R7 450
"2,154",GeForce GTX 555
"2,148",Radeon TM R9 A360
"2,148",GeForce GTX 675M
"2,146",Intel Iris Pro P580
"2,144",GRID K240Q
"2,142",GeForce MX230
"2,103",FirePro M5100
"2,087",Radeon R9 M375X
"2,077",GeForce GTX 670MX
"2,073",Quadro K3100M
"2,060",Quadro 5000M
"2,057",Radeon R7 M465X
"2,055",Radeon R9 M360
"2,054",Radeon HD 5830
"2,049",Quadro 4000
"2,046",Radeon HD 6790
"2,040",GeForce GTX 480M
"2,025",GRID M10-1B
"2,024",GeForce GTX 570M
"1,996",Embedded Radeon E9173
"1,982",Radeon R7 + R7 350 Dual
"1,978",Matrox C680 PCIe x16
"1,965",Intel Iris Plus 655
"1,962",Radeon R7 + HD 7700 Dual
"1,962",Radeon HD 6900M
"1,962",Intel Iris Plus
"1,958",Radeon HD 7660D + HD 7700 Dual
"1,954",GeForce GTX 860M
"1,950",GeForce MX130
"1,950",GeForce GTX 470M
"1,948",GeForce GTX 670M
"1,941",GeForce GTX 645
"1,937",Radeon R9 M370X
"1,932",Quadro M600M
"1,923",GeForce GTX 550 Ti
"1,911",GeForce GTX 950M
"1,904",Radeon Vega 10
"1,889",GeForce GTX 765M
"1,877",Intel Iris Pro 580
"1,836",GeForce GTX 650
"1,835",Radeon HD 8570D + HD 7700 Dual
"1,826",MxGPU
"1,812",Matrox C900 PCIe x16
"1,810",Quadro 5010M
"1,810",RadeonT RX 560X
"1,810",FirePro 3D V7800
"1,806",Radeon R9 255
"1,800",Radeon HD 8870M / R9 M270X / M370X
"1,794",Quadro 4000M
"1,789",Radeon HD 8670D + 7700 Dual
"1,780",Radeon R7 FX-9830P RADEON
"1,764",Radeon RX Vega 8
"1,756",Quadro K3000M
"1,735",Radeon Vega 8
"1,735",FirePro W600
"1,727",FirePro M6000 Mobility Pro
"1,722",Quadro K2000
"1,712",Radeon HD 5770
"1,709",Radeon HD 7750
"1,704",FirePro M4000 Mobility Pro
"1,695",Radeon RX Vega 10
"1,685",Radeon HD 6770
"1,684",GeForce GTX 950A
"1,680",Quadro P500
"1,676",Quadro K2000D
"1,674",FirePro W4100 Adapter
"1,654",DameWare Development Mirror Driver 64-bit
"1,646",Radeon Vega 8 Mobile
"1,638",Radeon HD 8870M
"1,635",GeForce GTX 850M
"1,632",Radeon Vega 10 Mobile
"1,629",FirePro W5130M
"1,619",FirePro M4000
"1,617",Ryzen 7 2700U with Radeon Vega
"1,610",Radeon 540
"1,608",GeForce MX110
"1,606",Intel Iris 550
"1,603",Radeon Vega 6
"1,601",FirePro W4100
"1,598",GeForce GT 755M
"1,593",Quadro P400
"1,592",Quadro M520
"1,577",Radeon E8860
"1,573",Intel Iris Plus 650
"1,570",GeForce GT 740
"1,556",GeForce GTS 450
"1,545",Radeon HD 8470D + HD 7500 Dual
"1,544",GeForce GTX 560M
"1,543",Radeon HD 4890
"1,542",Intel Iris Pro Graphics 6200
"1,531",FirePro V5900
"1,528",15DD
"1,524",Radeon R9 M275X / M375
"1,507",Radeon HD 7870M
"1,504",GeForce 945M
"1,503",Ryzen 5 2500U with Radeon Vega
"1,485",Radeon HD 7660D + HD 6670 Dual
"1,484",FirePro 3D V5800
"1,463","Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C"
"1,461",Quadro 3000M
"1,452",Radeon HD 5750
"1,445",GeForce GTX 660M
"1,433",GeForce GTX 760M
"1,429",Radeon HD 7730
"1,426",Radeon HD 7560D + 7670 Dual
"1,419",Radeon R7 430
"1,418",Radeon R9 M270X
"1,418",Radeon R7 M370
"1,411",Intel Iris Plus 640
"1,405",Radeon R7 250
"1,394",GeForce GTX 460M
"1,386",FirePro W4170M
"1,382",Intel HD P630
"1,382",Radeon HD 4870
"1,376",Radeon R7 PRO A12-8870
"1,373",Radeon HD 7850M
"1,368",Radeon R7 PRO A10-9700
"1,364",FirePro M40003
"1,362",GeForce 940MX
"1,361",Radeon HD 8670D + 6670 Dual
"1,347",Radeon HD 7560D + HD 7700 Dual
"1,344",Intel Iris 540
"1,341",FireStream 9270
"1,336",Radeon R7 PRO A12-9800
"1,335",Quadro K2100M
"1,320",Radeon R7 PRO A10-8770
"1,317",Quadro 2000
"1,317",Radeon HD 6750
"1,315",Intel UHD
"1,314",FirePro M5950
"1,313",Radeon HD 8790M
"1,309",Radeon HD 4870 X2
"1,306",Radeon R7 M465
"1,302",FirePro V4900
"1,301",Radeon 535
"1,298",Firepro W4190M
"1,296",GeForce GT 750M
"1,294",Radeon R9 M265X
"1,293",GeForce GT 545
"1,285",Radeon R7 + R7 200 Dual
"1,283",Quadro 2000D
"1,281",GeForce GTX 760A
"1,281",Radeon R7 A370
"1,281",GeForce GT 640
"1,273",GeForce GTX 285
"1,272",FirePro 3D V8750
"1,261",Radeon R7 M350
"1,261",Radeon HD 8570D + HD 6670 Dual
"1,249",Mobility Radeon HD 5870
"1,245",GeForce GTX 275
"1,239",Quadro 2000 D
"1,239",Radeon R9 M375
"1,239",Radeon HD 8570D + 6570 Dual
"1,238",Radeon HD 7660D + 6670 Dual
"1,237",Radeon HD 8790M / R9 M290X
"1,234",GeForce 930MX
"1,234",GeForce GT 650M
"1,230",Intel UHD P630
"1,226",Radeon R7 A12-9800 RADEON
"1,222",Radeon HD 8670D + HD 6670 Dual
"1,217",GeForce 930A
"1,211",Intel UHD 630
"1,209",Intel Iris Pro P6300
"1,206",FirePro 3D V8700
"1,206",GeForce GTX 280
"1,197",Radeon 530
"1,191",Radeon HD 7750M
"1,186",Radeon R7 A12-9800E RADEON
"1,180",GeForce GT 745A
"1,176",Intel Iris Pro 5200
"1,170",Radeon R7 A10-9700 RADEON
"1,166",FirePro 3D V4800
"1,165",FireStream 9250
"1,165",GeForce GPU
"1,161",Barco MXRT 5400
"1,160",Radeon R7 PRO A12-8870E
"1,158",Intel Coffee Lake UHD
"1,158",Radeon R7 A10-7890K
"1,148",Radeon R7 PRO A10-8770E
"1,143",Radeon R7 PRO A10-9700E
"1,143",GeForce 845M
"1,140",Radeon HD 8850M / R9 M265X
"1,136",GeForce GTX 260
"1,132",Radeon HD 4850 X2
"1,131",Radeon HD 7560D + 6670 Dual
"1,126",Radeon R7 M460
"1,124",RadeonT R5 430
"1,123",Radeon R7 A10-7870K
"1,122",Intel HD 630
"1,116",Radeon HD 7670
"1,116",Radeon R7 M260X
"1,115",Radeon R9 M275
"1,114",FirePro M4150
"1,111",Quadro FX 5800
"1,108",Radeon R7 A10-8850
"1,105",Radeon R7 A10-9700E RADEON
"1,105",Radeon Vega 3
"1,104",Radeon Vega 3 Mobile
"1,100",Radeon HD 7660D + 6570 Dual
"1,089",GeForce 920MX
"1,087",FirePro M4170
"1,087",Quadro M500M
"1,086",Radeon HD 5670
"1,081",Quadro K2000M
"1,081",MIRRORV3
"1,073",Radeon R7 A8-9600 RADEON
"1,067",Radeon R7 M445
"1,067",Radeon R7 PRO A10-9700B
"1,066",Radeon 535DX
"1,064",Radeon HD 8750M
"1,063",Intel HD P530
"1,062",Radeon HD 7660D + 7670 Dual
"1,061",Radeon HD 6670
"1,061",Radeon HD 7520G + 7700M Dual
"1,059",Firepro M4100
"1,056",Intel UHD Graphics 620
"1,055",GeForce GT 445M
"1,053",GeForce GTX 295
"1,050",Radeon HD 7670A
"1,049",Radeon R7 PRO A8-9600
"1,049",Radeon R7 Opteron X3421
"1,047",Radeon R7 340
"1,045",Radeon R7 + R7 240 Dual
"1,043",Radeon R5 340
"1,036",Quadro 2000M
"1,035",Radeon HD 4770
"1,035",Quadro K1100M
"1,033",Radeon HD 8570D + HD 8570 Dual
"1,031",Radeon R5 430
"1,031",GeForce 940A
"1,030",Radeon HD 8600/8700M
"1,029",Radeon HD7570
"1,028",Radeon R7 + R5 330 Dual
"1,028",Radeon R7 A8-7500
"1,028",Radeon HD 8730M
"1,023",Radeon HD 4850
"1,020",Radeon HD 8670D + R7 240 Dual
"1,020",Radeon R7 A10-7850K
"1,019","Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G"
"1,017",Radeon HD 6700M
"1,015",Radeon R7 PRO A12-9800E
"1,014","Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G"
"1,009",Radeon HD 7690M XT
"1,005",GeForce 830A
"1,003",Quadro FX 4800
"1,002",Radeon HD 7730M
"1,001",Radeon HD 7690M
